asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,exit_date,exit_price_per_share,exit_value_usd,total_return_at_exit,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings
rally-andypele,ANDYPELE,1977 Andy Warhol Pelé Polaroid,art,art,,,1977.0,,,Andy Warhol Pele Polaroid,,trading,6500.0,2022-08-01,4.0,26000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-08. No price history has been ingested.,2026-06-26,limited,stale_quote_snapshot
rally-grateful1,GRATEFUL1,1966 Grateful Dead Skeleton and Roses Poster,art,art,,,1966.0,,,Grateful Dead Skeleton and Roses Poster,,trading,12500.0,2022-10-01,10.0,125000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-10. No price history has been ingested.,2026-06-29,usable,
rally-hirst1,HIRST1,"Damien Hirst, The Currency, Painting",art,art,,,,,,"Damien Hirst, The Currency, Painting",,trading,5000.0,2022-03-01,4.0,20000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-03. No price history has been ingested.,2026-06-29,usable,
rally-sachs1,SACHS1,Tom Sachs Rocket Factory “Game Changer”,art,art,,,,,,Tom Sachs Rocket Factory Game Changer,,trading,2150.0,2022-05-01,10.0,21500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-05. No price history has been ingested.,2026-06-29,usable,
rally-warhol1,WARHOL1,"1967 Andy Warhol Marilyn Monroe Print, Signed",art,art,,,1967.0,,,"Andy Warhol Marilyn Monroe Print, Signed",,trading,17000.0,2022-05-01,10.0,170000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-05. No price history has been ingested.,2026-06-29,usable,
rally-warhol2,WARHOL2,"1969 Andy Warhol Campbell’s Soup Print, Signed",art,art,,,1969.0,,,"Andy Warhol Campbells Soup Print, Signed",,trading,6500.0,2022-07-01,10.0,65000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2022-07. No price history has been ingested.,2026-06-30,usable,
rally-59bond,59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,,,,,,Ian Fleming - Goldfinger (Dedication Copy),,trading,10250.0,2021-02-01,8.0,82000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-02.,2026-06-30,usable,
rally-59jfk,59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,,,,,,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),,trading,2000.0,2020-11-01,13.0,26000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-11.,2026-06-29,usable,
rally-62bond,62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,,,,,,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),,trading,15500.0,2020-12-01,6.0,93000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-26,limited,stale_quote_snapshot
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,,,,,,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),,trading,500.0,2020-03-01,38.0,19000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-03.,2026-07-02,usable,
